#   X        Y       
    -2.0      4.0 3.999862 .0034571 
    -1.9     3.61 3.631612 -.595111 
    -1.8     3.24 3.273632 -1.02738 
    -1.7     2.89 2.928176 -1.30374 
    -1.6     2.56 2.597307 -1.43635 
    -1.5     2.25 2.282845 -1.43877 
    -1.4     1.96 1.986355 -1.32682 
    -1.3     1.69 1.709099  -1.1175 
    -1.2     1.44 1.452055 -.830179 
    -1.1     1.21 1.215904 -.485563 
    -1.0      1.0 1.001073 -.107175 
    -0.9 .8099999 .8077452 .2791405 
    -0.8     0.64 .6359162 .6421924 
    -0.7     0.49 .4854203 .9434462 
    -0.6     0.36 .3559945 1.125169 
    -0.5     0.25 .2473014  1.09123 
    -0.4     0.16 .1589897 .6354451 
    -0.3     0.09 .0907145 -0.78758 
    -0.2     0.04 .0421826 -5.17427 
    -0.1     0.01 .0131592 -24.0076 
     0.0      0.0 .0035003   -100.0 
     0.1     0.01 .0131592 -24.0074 
     0.2     0.04 .0421826  -5.1742 
     0.3     0.09 .0907147 -.787818 
     0.4     0.16 .1589893 .6357193 
     0.5     0.25 .2473011 1.091349 
     0.6     0.36 .3559944 1.125193 
     0.7     0.49 .4854201 .9434819 
     0.8     0.64 .6359158 .6422639 
     0.9 .8099999 .8077455 .2791047 
     1.0      1.0 1.001072 -.107104 
     1.1     1.21 1.215904 -.485533 
     1.2     1.44 1.452055 -.830168 
     1.3     1.69 1.709099  -1.1175 
     1.4     1.96 1.986354 -1.32678 
     1.5     2.25 2.282845 -1.43878 
     1.6     2.56 2.597306 -1.43632 
     1.7     2.89 2.928176 -1.30375 
     1.8     3.24 3.273633 -1.02738 
     1.9     3.61 3.631613 -.595134 
     2.0      4.0 3.999861 0.003469 
